"","fichero","etiquetas"
"40","10358462_283577471823375_664449434_n.jpg","Event| Recreation| Competition event| Uniform"
"41","10369293_708267992574184_1341963891_n.jpg","City| Night| Metropolitan area| Architecture| Crowd"
"42","10369465_747504165269643_532997888_n.jpg","Grass| Recreation| Golf| Formal wear| Lawn"
"43","10369546_1590547674570049_2146869295_n.jpg","Crowd| People| Event| Sky| Convention"
"44","10375791_197337257286328_32338673_n.jpg","Facial expression| Finger| Hand| Gesture| Photo caption"
"45","10387877_368472569970939_1775359822_n.jpg","Text| Font| Black| Darkness| Line"
"46","103954436_355108498802439_2045140631730097826_n.jpg","Event| Job| World| Competition event| Championship"
"47","10413910_972406286129316_815945676_n.jpg","Vacation| Smile| Vehicle"
"48","10413967_831641660179985_1675686987_n.jpg","Coast| Promontory| Natural landscape| Cliff| Raised beach"
"49","104220202_115511083300101_6211142835188583381_n.jpg","Suit| Photo caption| Grass| Font| Lawn"
"50","10424623_847250448637497_181992040_n.jpg","Tie| White-collar worker| Smile| Fashion accessory| Bow tie"
"51","104258758_636874783576790_5263144044673722970_n.jpg","Floor| Flooring| Chair| Furniture| Sitting"
"52","104287680_118798576262003_2153785903269732645_n.jpg","Text| Photo caption| Font| Adaptation| Photography"
"53","104430179_121150916007835_2283117469408858961_n.jpg","Social group| People| Event| Product| Community"
"54","104431501_2302688583373193_6289436745804710613_n.jpg","Event| Uniform| Team"
"55","104452914_1714528795364682_5432253940869906827_n.jpg","Public speaking| Speech| Official| Spokesperson| Orator"
"56","10449001_740538982672105_1672800318_n.jpg","Living room| Room| Interior design| Furniture| White"
"57","10454191_559220477522023_1116288757_n.jpg","Sport venue| Coast| Sky| Golf course| Natural landscape"
"58","104695535_894170014398101_2227265567988703177_n.jpg","Font| Text| Sky| Logo| Brand"
"59","10471818_682763395129664_2116742969_n.jpg","Speech| Event| Suit| News| Official"
"60","10471989_253585224846021_1964606648_n.jpg","Event| Fashion| Team| Performance| Footwear"
"61","10474976_1741263036092925_121590030_n.jpg","Skier| Snow| Ski| Recreation| Ski binding"
"62","10475182_724554997606720_1551370067_n.jpg","Sport venue| Highland| Green| Sky| Golf course"
"63","10483475_1965659043659587_2060059663_n.jpg","Photo caption| Media| Photography| Internet meme"
"64","10488787_1439807766283997_2013193424_n.jpg","Conversation| Event| Interaction| Liqueur| Drink"
"65","10534089_761105793944624_1678191177_n.jpg","Font| Text| Photography| Logo| Black-and-white"
"66","10542842_561803327264222_1746840465_n.jpg","Suit| Event| Formal wear| Outerwear| Tuxedo"
"67","10584581_1456062721331424_1183615590_n.jpg","Text| Font| Black| Darkness| Line"
"68","105929473_2603384269989790_1337742144717475977_n.jpg","Flag of the united states| Flag| Official| Event| Speaker"
"69","105955426_591930331721214_7022494190036657061_n.jpg","Event| Community| Ceremony| Team| Official"
"70","105979992_3119090411491125_239943527494640372_n.jpg","Crowd| People| Fan| Product| Audience"
"71","10598225_712674585453250_1497116740_n.jpg","Text| Font| Black| Darkness| Line"
"72","10598628_251261531750338_690866037_n.jpg","Award| Trophy| Drinkware"
"73","10598635_830816996953058_1383022315_n.jpg","Blond| Beauty| Fashion| Fun| Event"
"74","10601687_546412075520300_684078777_n.jpg","Text| Font| Media| Event| News"
"75","10608114_1532059873742957_166104574_n.jpg","Font| Text| Photo caption| Photography| Black-and-white"
"76","106094740_133790335029841_1662598492601320322_n.jpg","Sky| Fireworks| Text| New Years Day| Font"
"77","10611129_526052700861593_1585261218_n.jpg","Fun| Photography"
"78","106125140_723451848389685_3579495037622538802_n.jpg","Fireworks| Sky| New Years Day| Night| Landmark"
"79","10616382_979600268800045_1833695222_n.jpg","Sky| Night| Advertising| Text| Lighting"
"80","10616545_1086347964719736_1416910215_n.jpg","Event| Speech| Display device| Sport venue| Fan"
"81","10616971_326540287516490_937491408_n.jpg","Event| Businessperson| Job| Sky| Business"
"82","106238893_179145843565273_2731562504081390776_n.jpg","Sky| Cloud| Mountainous landforms| Mountain| Daytime"
"83","106275373_656069248313857_9034154453592998928_n.jpg","Flag| Flag of the united states| Sky| Parachute| Parachuting"
"84","106276062_951896818602485_3248155344036480649_n.jpg","Photo caption| Veterans day| Font| Official| Memorial day"
"85","106279670_165002398404775_8631173276228347436_n.jpg","Sculpture| Landmark| Stone carving| Statue| Rock"
"86","10632282_836971693081785_1736454379_n.jpg","Crowd| Event| Night| Flag| Audience"
"87","106361053_273301683937851_5996612300565706435_n.jpg","Sky| Cloud| Tree| Atmosphere| Space"
"88","106365839_153522812945935_8001129304183527237_n.jpg","Sky| Cloud| Daytime| Urban area| Horizon"
"89","106405769_180015143495511_4119270757790463202_n.jpg","Text| Font| Yellow| Line| Love"
"90","106429281_583749292284801_6006253056178160605_n.jpg","Dress| Sky| Standing| Event| Ceremony"
"91","106471770_175953710580049_313148652962911324_n.jpg","Photo caption| Font| Manager| Official"
"92","10654954_1687597771455645_1477241030_n.jpg","Airplane| Aircraft| Airliner| Airline| Vehicle"
"93","106744338_170897011114969_3392218365897795065_n.jpg","Suit| Formal wear| World| Businessperson| Job"
"94","10693243_1500326050271752_288377067_n.jpg","People| Product| Event| Hand| Job"
"95","107046319_129260938833776_3112318359017206063_n.jpg","Sky| Air travel| Urban area| Aerial photography| Daytime"
"96","107212846_156626242616040_4001919020528309885_n.jpg","Text| Sky| Font| Adaptation| Photography"
"97","10727222_1648533212039623_992589207_n.jpg","Suit| Formal wear| Tuxedo| Event| Dress"
"98","10727781_598114046967475_427896676_n.jpg","People| Photograph| Social group| Snapshot| Monochrome"
"99","10729429_980248478658688_1993661450_n.jpg","Font| Text| Black| Line| Photo caption"
"100","10731939_711852348891358_2025370720_n.jpg","Landmark| Architecture| Medieval architecture| Building| Classical architecture"
"101","10731966_1497133467226219_1531350621_n.jpg","Suit| Fashion| Formal wear| Event| Smile"
"102","10747881_314648815402612_1494011012_n.jpg","Font| Text| Black| Line| Black-and-white"
"103","107814240_228483468202227_1108407375833955266_n.jpg","Job| Photo caption| Businessperson| Font| News"
"104","10787742_733679836701486_649643152_n.jpg","Facial expression| People| Poster| Movie| Musical"
"105","10787966_380608902103104_957892509_n.jpg","Font| Text| Black| Darkness| Photo caption"
"106","10810054_534072363362723_574231572_n.jpg","Statue| Suit| Formal wear| Sculpture| Art"
"107","10817708_1663862663886611_1585858317_n.jpg","News| Television program| Newscaster| Newsreader| Event"
"108","10817953_1632140440405121_470965895_n.jpg","Text| Font"
"109","10838881_1718868185050048_1743749321_n.jpg","Crowd| People| Audience| Fan| Product"
"110","10843737_689646307831984_1128960110_n.jpg","Speech| Spokesperson| Orator| Public speaking| Media"
"111","10844004_1517152731899690_1093165119_n.jpg","People| Event| Crowd| Team| Headgear"
"112","10844033_969554859805480_341299932_n.jpg","Crowd| People| Event| Audience| Convention"
"113","10852940_404847319678907_1936019592_n.jpg","People| Photograph| Black-and-white| Family| Monochrome"
"114","10853076_773536076058424_1528268079_n.jpg","Speech| Public speaking| Official| Speaker| Event"
"115","108533487_578786162796884_8761065960687747788_n.jpg","Cake decorating| Sweetness| Cake| Buttercream| Headgear"
"116","10860007_331659353698323_94395831_n.jpg","Suit| White-collar worker| Formal wear| Human settlement| City"
"117","10865060_892001477536988_1018379894_n.jpg","Audience| Auditorium| Convention| Crowd| Event"
"118","10881920_336117576575179_2094006299_n.jpg","Social group| Event| Ceremony| Suit| Photography"
"119","10890542_1534830726798030_1953595394_n.jpg","Suit| Event| Premiere| Tuxedo| White-collar worker"
"120","10890892_106378516404764_57569143_n.jpg","Event| Photo caption| Holiday"
"121","10895226_557887624348910_1583272953_n.jpg","Event| Television crew| Film crew| Camera operator| City"
"122","10899020_1566864706890287_889660943_n.jpg","Facial expression| Gesture| Suit| Businessperson| Finger"
"123","10899256_693036437489278_1707810790_n.jpg","Font| Text| Black| Photo caption| Line"
"124","10899395_342393505948672_1145466507_n.jpg","Team| Event| Management| Businessperson| White-collar worker"
"125","10903551_1532450393693813_472579543_n.jpg","Sport venue| Water resources| Nature| Water| Natural landscape"
"126","10914501_1544823095758307_774208513_n.jpg","Facial expression| Suit| Formal wear| Smile| Event"
"127","10919185_1540886126188523_850459061_n.jpg","Suit| Formal wear| Sky| Team| Event"
"128","10919369_1526915457569121_796154233_n.jpg","People| Event| Suit| Businessperson| Newscaster"
"129","10919489_1542937269278354_1269718614_n.jpg","Event| Fashion| Performance| Fun| Suit"
"130","10919543_632414243535137_810253349_n.jpg","Suit| Event| White-collar worker| Eyewear| Smile"
"131","109310007_185489976331549_7739770526224216879_n.jpg","Official| Flag of the united states| News conference| Event| Speaker"
"132","10932142_411811068984871_661239617_n.jpg","Suit| Formal wear| Event| White-collar worker| Tuxedo"
"133","10932335_843291772402543_642515935_n.jpg","Album cover| Font| Poster| Photo caption"
"134","10932479_878329502254293_1497812594_n.jpg","Protest| Banner| Public event| Community| Event"
"135","10945243_737349569695371_359424067_n.jpg","Suit| Event| Formal wear| Fashion| Tuxedo"
"136","10946586_721396167981860_591286085_n.jpg","Social group| Team| Event| Suit| Businessperson"
"137","10946615_1545189989088465_359764403_n.jpg","Font| Text| Black| Line| Photo caption"
"138","10948238_1607960902760860_221727396_n.jpg","Yellow| People| Social group| Fun| Event"
"139","10948673_1571192749764136_276830571_n.jpg","Suit| White-collar worker| Businessperson| Formal wear| Tuxedo"
"140","10948950_1594870490727984_1920222433_n.jpg","Text| Font| Advertising| Photo caption| Photography"
"141","109490006_122457099218489_3742280274221898987_n.jpg","Crowd| Landmark| Architecture| Building| Event"
"142","10950463_1727213330834706_2093463262_n.jpg","Fan| Product| People| Crowd| Team"
"143","10953032_1530453927233732_869915347_n.jpg","Event| Ceremony| Bride| Smile| Formal wear"
"144","10954285_415128491977109_532562494_n.jpg","Suit| Event| Shoulder| Formal wear| White-collar worker"
"145","10958472_534668603341657_1973976493_n.jpg","Suit| Event| Formal wear| Award| Tuxedo"
"146","10959189_789951287706972_1127378044_n.jpg","Blond| Photography| Drinking| Costume"
"147","10979639_783949075024386_1200938385_n.jpg","Suit| White-collar worker| Formal wear| Event| Businessperson"
"148","10986289_824857267549839_2064854883_n.jpg","Iron| Snapshot| Metal| Photography| Square"
"149","10986322_1031665610229021_606006381_n.jpg","People| Facial expression| Product| Sky| Team"
"150","109990031_326273048540985_7605394655639781652_n.jpg","Suit| White| Photograph| Black| Formal wear"
"151","110043564_581436115873943_4517325471931884035_n.jpg","Military rank| Government| Event| Official| Military officer"
"152","11005037_422273784608411_1213014318_n.jpg","Helicopter| Vehicle| Helicopter rotor| Rotorcraft| Aircraft"
"153","11007893_1678732545687343_1025319539_n.jpg","Event| Photography| Team| Suit| Smile"
"154","11008357_684219668354993_938010122_n.jpg","Event| Community| Competition event| Ceremony| Grass"
"155","11049316_630482543750890_1127016930_n.jpg","Product| Community| Fun| Competition event| Recreation"
"156","11055762_826400234105334_2016479185_n.jpg","Water| Green algae| Algae| Landscape| Raised beach"
"157","110752157_1671525113013075_1833990920861300580_n.jpg","Golf| Sport venue| Golf course| Professional golfer| Golfer"
"158","11084998_545210375618475_1981082835_n.jpg","Lighting| Performance| Event| Formal wear| Space"
"159","11098211_499441613536952_1414885629_n.jpg","Suit| Tuxedo| Formal wear| Event| White-collar worker"
"160","11111456_471650806315379_1984742416_n.jpg","Suit| White-collar worker| Formal wear| Gesture| Tuxedo"
"161","11123686_1571615886422450_207378260_n.jpg","Font| Text| Black| Photo caption| Line"
"162","11123810_804345336322650_1682043716_n.jpg","Light| Sky| Fashion| Night| Crowd"
"163","11123857_1590181157930217_942678081_n.jpg","Crowd| Audience| People| Event| Convention"
"164","11176063_849071215207383_1519446609_n.jpg","Suit| White-collar worker| Gesture| Businessperson| Formal wear"
"165","11186826_382048628659901_1302523443_n.jpg","Photograph| Monochrome| Black-and-white| Photography| Monochrome photography"
"166","11186984_1381733232156963_943629144_n.jpg","Font| Text| Black| Photo caption| Line"
"167","11189662_1595099274062856_1144031220_n.jpg","Text| Font| Black| Photo caption| Line"
"168","11202517_933925313318877_1403381738_n.jpg","Event| Suit| Speech| Public speaking| Official"
"169","11208141_1574643519457094_341044418_n.jpg","Outerwear| Jacket| Recreation| Team| Sleeve"
"170","11208471_570704536404383_484202805_n.jpg","Metropolitan area| Sky| Skyscraper| Landmark| Daytime"
"171","11208514_1599110130306216_479483140_n.jpg","Event| Formal wear| Suit| Audience| Tuxedo"
"172","11226640_799930046744467_1300324447_n.jpg","Grandparent| Family| Suit| Child"
"173","11226655_438092556364095_1825736182_n.jpg","Suit| Formal wear| Tuxedo| Event"
"174","11226670_1631873083693197_830193314_n.jpg","Hair| Hairstyle| Blond| Suit| Formal wear"
"175","11226693_930448176975967_1731716969_n.jpg","Child"
"176","11230358_100134423657560_1680939726_n.jpg","Event| Award| Job| White-collar worker| Photography"
"177","11230364_853594531356166_86242443_n.jpg","Suit| Event| Formal wear| Tuxedo| Official"
"178","11230524_687970631328332_55880027_n.jpg","Entertainment| Event| Performance| Performing arts| Musical"
"179","11232648_370476866480074_467164634_n.jpg","Event| Suit| Headgear| Hat| Gesture"
"180","11232795_1606952246241859_1191424110_n.jpg","Furniture| Chest of drawers| Wall| Room| Table"
"181","11236206_471376816359173_513467354_n.jpg","Award| Event| Award ceremony| Official| Gold medal"
"182","11236255_482163038604431_1763367433_n.jpg","People| Community| Team| Crowd| Ecoregion"
"183","11236402_1405426449781407_1782034303_n.jpg","Public speaking| Speech| Suit| Event| Businessperson"
"184","11240388_451812528326890_2004047586_n.jpg","Suit| Formal wear| Tuxedo| Event| Gesture"
"185","11241688_1578585559061644_1630357864_n.jpg","Font| Text| Black| Line| Photo caption"
"186","11241852_951167214935194_936516639_n.jpg","Suit| Event| Electric blue| Formal wear| Award"
"187","11241881_910550678981270_2050944017_n.jpg","Suit| Formal wear| Tuxedo| Event| White-collar worker"
"188","11242715_528111060677061_1726677388_n.jpg","Team| Footwear| Recreation| Games| Personal protective equipment"
"189","11243529_1427941770857812_1012685936_n.jpg","Photograph| Suit| Formal wear| Tuxedo| Black-and-white"
"190","11243561_679526945492417_1728851724_n.jpg","Eyewear| Event| Glasses| Suit| Premiere"
"191","11243759_1039059922790802_874456294_n.jpg","Suit| Formal wear| Tuxedo| Event| White-collar worker"
"192","11244026_1612886632312824_1994856470_n.jpg","Shoulder| Muscle| Headgear| Photography| Vehicle"
"193","11244423_1568100903441449_1878129799_n.jpg","Body of water| Coast| Sky| Headland| Sea"
"194","11244638_649696041828776_1662735627_n.jpg","Text| Font| Black| Photo caption| Line"
"195","11244790_935749999809734_103816635_n.jpg","Stage| Performance| Event| Public speaking| Performing arts"
"196","11244826_831294250290583_782927373_n.jpg","Suit| Formal wear| Tuxedo| Event| Smile"
"197","11245021_828154247270167_576168479_n.jpg","Performance| Event| Lighting| Performing arts| Music artist"
"198","11247674_1427376674257422_337539089_n.jpg","Crowd| Audience| People| Convention| Auditorium"
"199","11248384_480446988788523_1326672133_n.jpg","Suit| Formal wear| Tuxedo| White-collar worker| Event"
"200","11249191_1641435722755949_1564454341_n.jpg","Performance| Entertainment| Stage| Performing arts| Event"
"201","11252184_748459325272215_1934348846_n.jpg","Event| Sky| Night| Smile| Photography"
"202","11252238_1564439887150281_612221228_n.jpg","Purple| Event| Night| Darkness| Performance"
"203","11252890_1409002716089193_765059078_n.jpg","Light| Lighting| Stage| Performance| Architecture"
"204","11254067_911949775529300_31683385_n.jpg","Event| Businessperson| Employment| White-collar worker| Award"
"205","11255674_432579853580600_1382559578_n.jpg","Suit| Formal wear| Tuxedo| White-collar worker| Event"
"206","11256112_827746397315701_1584952743_n.jpg","Fashion| Event| Blond| Fur| Fashion design"
"207","11256138_1607235179517665_1566594954_n.jpg","Suit| Formal wear| Tuxedo| White-collar worker| Businessperson"
"208","11256144_1569474010007155_218200108_n.jpg","Crowd| Light| Lighting| Purple| Event"
"209","11256395_923595921036634_1213797007_n.jpg","Event| Recreation| Team| Competition event| Championship"
"210","11256398_436523633175100_1588084511_n.jpg","Vehicle| Transport| Tree| Construction equipment| Soil"
"211","11256819_1608394329405748_922516738_n.jpg","Sport venue| Team sport| Sports| Player| Championship"
"212","11258562_892103444180288_305294763_n.jpg","Cool| Font| T-shirt| Illustration| Art"
"213","11259473_791186157656023_1051432955_n.jpg","Hair| People| Facial expression| Child| Hairstyle"
"214","11259597_1634534740101611_610644488_n.jpg","People| Cool| T-shirt| Photography| Family"
"215","11261229_496617570487790_489571246_n.jpg","Green| Interior design| Room| Architecture| Design"
"216","11264213_808175875918843_809903258_n.jpg","Speech| Newscaster| Event| Conversation| White-collar worker"
"217","11272887_1602243023350774_2050001546_n.jpg","Skyscraper| Metropolitan area| Daytime| Architecture| Tower block"
"218","11274450_1583527348601489_2042038219_n.jpg","Sport venue| Golf| Standing| Golf course| Golfer"
"219","11276328_1595054934075886_727786201_n.jpg","Event| Auditorium| Audience| Convention| Academic conference"
"220","11280197_489725407841865_913229751_n.jpg","Businessperson| Business| White-collar worker| Event| Management"
"221","11280458_1005349769475169_1933743826_n.jpg","Suit| White-collar worker| Businessperson| Event| Elder"
"222","11282073_831907606917045_730407770_n.jpg","Crowd| People| Event| Community| Sky"
"223","11283342_1429518244034703_1012122543_n.jpg","Suit| Sky| Formal wear| White-collar worker| Businessperson"
"224","11287806_940149199368735_1025786791_n.jpg","Photography| Event| White-collar worker| Photo caption| Team"
"225","11296908_177110655959656_1025796281_n.jpg","Architecture| Building| Metal"
"226","11311960_449656711882647_88916310_n.jpg","Text| Font| Black| Photo caption| Darkness"
"227","11313218_910436492349063_1330639987_n.jpg","Headgear| Event| Fedora| Fashion accessory| Suit"
"228","11313638_925747597461216_1744849179_n.jpg","Golf| Golfer| Foursome (golf)| Golf equipment| Professional golfer"
"229","11313755_973624612680396_1112432051_n.jpg","Crowd| People| Sport venue| Fan| Audience"
"230","11324351_1445523965761796_639778698_n.jpg","People| Facial expression| Sky| Fun| Smile"
"231","11325094_1556641814556611_697045075_n.jpg","Child| Hair| Face| Toddler| Blond"
"232","11325990_851640641572806_433496331_n.jpg","Event| Suit| Formal wear| Tuxedo"
"233","11326342_709515315837920_1132257328_n.jpg","Suit| Architecture| Formal wear| Businessperson| Tourism"
"234","11326712_1659667924269158_1236409549_n.jpg","Font| Text| Black| Photo caption| Line"
"235","11330586_797270190387081_759680642_n.jpg","Text| Font| Document| Paper"
"236","11334447_615452685257562_1619147074_n.jpg","Event| Award| White-collar worker"
"237","11348085_1435281343444332_1694641838_n.jpg","Text| Wall| Font| Poster| World"
"238","11348312_874047692660987_37687457_n.jpg","Flag| Event| Flag of the united states| Crowd| Military officer"
"239","11349322_444634205709915_1889890737_n.jpg","Event| Team| Fashion| Performance| Fun"
"240","11350998_887645857940939_2133894020_n.jpg","Photograph| Landmark| Architecture| Snapshot| Building"
"241","11352393_491232274376702_1734103114_n.jpg","Text| Font| Website| Media"
"242","11352913_1671608789738108_862277223_n.jpg","People| Human| Headgear| Advertising| Protest"
"243","11355975_2121608311311116_255673114_n.jpg","Suit| Formal wear| Tuxedo| Event| Businessperson"
"244","11357361_1001656253200948_1093480423_n.jpg","Text| Font| Document| Paper"
"245","11357461_1605008079770150_1645142620_n.jpg","Vehicle| Airplane| Aerospace engineering| Aircraft| Aviation"
"246","11364005_1011063585627019_1797841499_n.jpg","Job| Event| Community| Collaboration| Management"
"247","11370978_839312226163049_323574090_n.jpg","Photograph| Standing| Snapshot| Vintage clothing| Photography"
"248","11371963_710078582448161_1397577513_n.jpg","Text| Font| Document| Brand"
"249","11372126_910253585702462_322681424_n.jpg","Suit| Formal wear| Tuxedo| Event| Fashion"
"250","11372197_1459393041026564_1262654296_n.jpg","Pianist| Suit| White-collar worker| Architecture| Musician"
"251","11372391_780670482045581_901575194_n.jpg","Text| Font| Document| Paper"
"252","11374447_494556454033434_583234077_n.jpg","Sky| Event| Convention| Public speaking| Seminar"
"253","11374495_394761570713058_353676964_n.jpg","Text| Font| Document| Line| Paper"
"254","11374764_1631741997038616_1764700132_n.jpg","Fireworks| Photograph| Sky| Darkness| New Years Day"
"255","11375147_886879761365244_989805440_n.jpg","Competition event| Photo caption| Recreation| Competition| Team"
"256","11375290_111846702505922_969822566_n.jpg","Audience| Crowd| People| Convention| Auditorium"
"257","11375336_1460245924280565_796981524_n.jpg","Table| Bird"
"258","11375914_831901806863292_935730043_n.jpg","Crowd| Convention| Event| Sky| Function hall"
"259","11375931_1453516908302309_117162777_n.jpg","Text| Font| Document| Paper| Line"
"260","11376054_367650910106701_1005976306_n.jpg","Condominium| Tower block| Building| Property| Architecture"
"261","11376429_362697833921988_1172555816_n.jpg","Formal wear| Suit| Event| Smile| Tuxedo"
"262","11376451_1438938773094810_889396260_n.jpg","Event| News conference| Competition event| Championship| Competition"
"263","11376495_692057824259339_2061931896_n.jpg","Crowd| Event| Convention| Academic conference| Sky"
"264","11376614_406795492855704_438931207_n.jpg","Flag of the united states| Flag| Trophy| Podium| Event"
"265","11376653_1025774930775090_695706533_n.jpg","Text| Font"
"266","11378099_945760802129582_922467586_n.jpg","Poster| Photo caption| Vintage advertisement"
"267","11378576_1609573219315438_810860398_n.jpg","Sky| Suit| Cloud| Formal wear| Event"
"268","11378860_1599420370306759_522714351_n.jpg","Event| Flag| Crowd| Metal| Stage equipment"
"269","11380811_1445762465728549_1423106606_n.jpg","Event| Sky| Crowd| Convention| Lunch"
"270","11382950_1687805781473703_2005404584_n.jpg","Event| Suit| Businessperson| Formal wear| White-collar worker"
"271","11386518_1666046023628064_1480574306_n.jpg","Text| Font| Line| Document| Paper"
"272","11410342_1494978017460804_478951596_n.jpg","Text| Font| Line| Parallel"
"273","11410512_1063719487025560_1422889706_n.jpg","Crowd| People| Fan| Audience| Product"
"274","11419144_1416645318662296_586596943_n.jpg","Forehead| Human| Sky| Smile| Photography"
"275","11425757_107472046267036_1847809897_n.jpg","Team| Sky| Social group| Crew| Community"
"276","115778605_149783333402743_5427876508781183419_n.jpg","Event| Photo caption| Businessperson| Suit| Official"
"277","116097870_618461889077565_133963702590597568_n.jpg","Desert| Natural environment| Sky| Sand| Road"
"278","116137577_594589101093508_4217260477103971834_n.jpg","Job| Photo caption| Management| Brand| Official"
"279","116207942_195328811931948_3313049380118087225_n.jpg","Event| Speech| News conference| Public speaking| Official"
"280","116231744_785445212194313_8331671297199244985_n.jpg","Photo caption| Vehicle| Businessperson| Suit"
"281","116284901_150406773334592_7231258748974541088_n.jpg","Vehicle| Gesture| Flag| Suit| Automotive window part"
"282","116336454_654726678472922_8812814751212501637_n.jpg","Fan| Product| Crowd| Font| Banner"
"283","116483876_339779883693808_463528663351324101_n.jpg","Spokesperson| Speech| Flag| Flag of the united states| Official"
"284","116562883_599500140997290_7917643374197751375_n.jpg","Businessperson| Management| Event| Business| White-collar worker"
"285","1168985_770332316432467_451045444_n.jpg","People| T-shirt| Outerwear| Top| Event"
"286","116906229_110966970600711_8309954880581265492_n.jpg","Landmark| Architecture| Building| Tourism| Real estate"
"287","1169234_614692431928900_205301997_n.jpg","Suit| Event| Fashion| Formal wear| Tuxedo"
"288","1169343_657020421009552_743776974_n.jpg","Hair| Beauty| Blond| Hairstyle| Fashion"
"289","116963987_298330991582438_42311391917767566_n.jpg","Event| News conference| Government| Official| Furniture"
"290","1169778_585810481485721_804146756_n.jpg","Stage| Event| Performance| Music| Performance art"
"291","1170042_557621497752453_1379489757_n.jpg","Font| Photo caption| Advertising"
"292","1170121_448097922066238_1509623058_n.jpg","Protest| People| Text| Community| Public event"
"293","1170271_542802515814338_574101660_n.jpg","Team| Competition event| Recreation| Uniform| Polo shirt"
"294","117038579_240611566936171_6354543628791465301_n.jpg","Sky| Official| Photo caption| Veterans day| Gesture"
"295","1170477_811750655595549_1017115857_n.jpg","Sport venue| Fan| Crowd| Product| Stadium"
"296","1171009_1648782132055877_238629087_n.jpg","Crowd| Sport venue| Audience| People| Fan"
